<答案>:
毛泽东在不同历史时期的军事运筹才能主要表现在以下几个方面：

### 土地革命战争时期
- **科学分析战略形势**：毛泽东科学地分析了当时的形势，确定了以农村包围城市的斗争道路。这一战略选择在当时具有重大的历史意义，为中国革命指明了方向。
- **战略决策**：通过对敌我力量的深入分析，制定了适合当时条件的战略战术，成功地推动了革命的进程。

### 抗日战争时期
- **分析敌我力量对比**：毛泽东深入分析了敌我双方的力量对比，提出了持久战的战略思想。这一思想成为抗日战争胜利的重要指导方针。
- **战略规划**：确定了持久战胜敌人的战略，强调通过长期斗争逐步削弱敌人力量，最终取得胜利。

### 解放战争时期
- **计算战争进程**：毛泽东精确计算了战争的进程，确定在3～5年内从根本上消灭国民党军队，推翻国民党反动统治。这一预测后来得到了验证。
- **具体作战指导**：利用丰富的作战经验和大量统计数据，提出了具体的作战理论原则，并将重要的数量依据直接纳入原则体系，指导了具体的作战行动。

<原文依据>:
1. "土地革命战争时期，科学地分析战略形势，确定以农村包围城市的斗争道路；"
2. "抗日战争时期，分析敌我力量对比，确定持久战胜敌人；"
3. "解放战争时期，计算战争进程，确定在3～5年内从根本上消灭国民党军队，推翻国民党反动统治等。"
4. "毛泽东还利用作战经验及大量统计数据，提出作战理论原则，并把一些重要的数量依据直接纳入原则体系，指导作战。"
